ids,Datasets,best_node.mean,best_node.sd,elite_nn.mean,elite_nn.sd,linear_discr.mean,linear_discr.sd,naive_bayes.mean,naive_bayes.sd,one_nn.mean,one_nn.sd,random_node.mean,random_node.sd,worst_node.mean,worst_node.sd
949,arsenic-female-bladder_949.csv,0.7854545454545454,0.22578718785757845,0.5971103896103898,0.1244406583695417,0.5167857142857144,0.23671654403995973,0.8693831168831169,0.033841093203575694,0.6831493506493506,0.11195692074062341,0.8425974025974025,0.04509152086617253,0.8568831168831167,0.000821370820822956
950,arsenic-female-lung_950.csv,0.9446103896103896,0.13817012720564098,0.9356818181818183,0.13525215701569873,0.9496428571428572,0.08395094264494625,0.983896103896104,0.019655419760104736,0.9820454545454546,0.023973290587011854,0.9660389610389611,0.005544253040554944,0.9678246753246753,0.0074611774200754365
947,arsenic-male-bladder_947.csv,0.9124350649350648,0.2083069950180743,0.8320779220779221,0.3085988358791536,0.8749350649350649,0.14721016165183357,0.9749350649350648,0.01923717661780981,0.8995779220779221,0.07528019815647645,0.9570779220779219,0.00916763131433601,0.9588636363636363,0.012022294666516714
951,arsenic-male-lung_951.csv,1.0,0.0,0.9535714285714285,0.14682003422210332,0.9928246753246753,0.009263778467742524,1.0,0.0,0.9981818181818183,0.0057495957457606925,0.9767532467532469,0.008603998202449,0.9910389610389612,0.01265280656572359
756,autoPrice_756.csv,0.94375,0.07482618748361654,0.9125,0.10290907529357057,0.94375,0.06878155841341324,0.9375,0.08838834764831845,0.9245833333333333,0.08734443843729219,0.85,0.11486707293408518,0.5475,0.1777365403561625
1547,autoUniv-au1-1000_1547.csv,0.7410,0.003162277660168382,0.6810,0.07936553968120477,0.7299999999999999,0.015634719199411447,0.7130,0.036530048514126626,0.6729999999999999,0.04945255863507524,0.7410,0.003162277660168382,0.7410,0.003162277660168382
1555,autoUniv-au6-1000_1555.csv,0.2860000000000001,0.01837873166945362,0.1370,0.025407785333546012,0.1740,0.018973665961010275,0.2210,0.030349812373573433,0.1670,0.04423422506008969,0.24000000000000005,5.851389114294502e-17,0.24000000000000005,5.851389114294502e-17
1551,autoUniv-au6-400_1551.csv,0.33,0.062137839607690835,0.2150,0.06146362971528591,0.23500000000000001,0.06476453075908482,0.2550,0.028382310609877334,0.1925,0.09721825388726589,0.2825,0.01687371394276381,0.2750,0.011785113019775788
1549,autoUniv-au6-750_1549.csv,0.21600000000000003,0.022487307805641805,0.17333333333333334,0.020846292265881902,0.20400000000000001,0.04402019738458447,0.21866666666666665,0.051524895097562445,0.12799999999999997,0.03985157648259537,0.20933333333333332,0.02089361648629894,0.21733333333333332,0.021818555926459687
1552,autoUniv-au7-1100_1552.csv,0.28909090909090907,0.031724248068611884,0.22454545454545455,0.04695503192371229,0.32999999999999996,0.05571968409451266,0.3372727272727273,0.04913391307581164,0.2381818181818182,0.034230354536831355,0.29454545454545455,0.03789696533542662,0.2818181818181818,0.013551927136362366
