Flow ID,Flow Name,Flow Parameters,Flow Associated Tasks
7977,"sklearn.pipeline.Pipeline(transformer=sklearn.preprocessing.data.StandardScaler,reduction=sklearn.decomposition.pca.PCA,estimator=sklearn.svm.classes.SVC)",No parameters available,No tasks available
7988,"sklearn.model_selection._search.GridSearchCV(estimator=sklearn.pipeline.Pipeline(scaler=sklearn.preprocessing.data.MinMaxScaler,svm=sklearn.svm.classes.SVC))",No parameters available,No tasks available
7999,"sklearn.pipeline.Pipeline(preprocessing=sklearn.preprocessing.data.StandardScaler,classifier=sklearn.svm.classes.SVC)",No parameters available,No tasks available
8008,"sklearn.pipeline.Pipeline(standardscaler=sklearn.preprocessing.data.StandardScaler,svc=sklearn.svm.classes.SVC)",No parameters available,No tasks available
8012,sklearn.pipeline.Pipeline(svc=sklearn.svm.classes.SVC),No parameters available,No tasks available
8026,"sklearn.pipeline.Pipeline(feature_select=sklearn.feature_selection.from_model.SelectFromModel(estimator=sklearn.ensemble.forest.RandomForestClassifier),classifier=sklearn.svm.classes.SVC)",No parameters available,No tasks available
8033,"sklearn.pipeline.Pipeline(sclaer=sklearn.preprocessing.data.StandardScaler,feature_select=sklearn.feature_selection.from_model.SelectFromModel(estimator=sklearn.ensemble.forest.RandomForestClassifier),classifier=sklearn.svm.classes.SVC)",No parameters available,No tasks available
8038,sklearn.model_selection._search.GridSearchCV(estimator=sklearn.svm.classes.SVC),No parameters available,No tasks available
8044,"sklearn.pipeline.Pipeline(scaler=sklearn.preprocessing.data.MinMaxScaler,svm=sklearn.svm.classes.SVC)",No parameters available,No tasks available
8048,"sklearn.pipeline.Pipeline(Scaler=sklearn.preprocessing.data.StandardScaler,PCA=sklearn.decomposition.pca.PCA,Classifier=sklearn.svm.classes.SVC)",No parameters available,No tasks available
8059,"sklearn.pipeline.Pipeline(PCA=sklearn.decomposition.pca.PCA,Classifier=sklearn.svm.classes.SVC)",No parameters available,No tasks available
8060,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,PCA=sklearn.decomposition.pca.PCA,Classifier=sklearn.svm.classes.SVC)",No parameters available,No tasks available
8065,"sklearn.pipeline.Pipeline(Scaler=sklearn.preprocessing.data.RobustScaler,Classifier=sklearn.svm.classes.SVC)",No parameters available,No tasks available
8081,"sklearn.pipeline.Pipeline(Scaler=sklearn.preprocessing.data.StandardScaler,Decomposition=sklearn.decomposition.pca.PCA,Classifier=sklearn.svm.classes.SVC)",No parameters available,No tasks available
8084,sklearn.pipeline.Pipeline(Classifier3=sklearn.svm.classes.SVC),No parameters available,No tasks available
8112,"sklearn.pipeline.Pipeline(standardscaler=sklearn.preprocessing.data.StandardScaler,pca=sklearn.decomposition.pca.PCA,svc=sklearn.svm.classes.SVC)",No parameters available,No tasks available
8117,"sklearn.pipeline.Pipeline(scaler=sklearn.preprocessing.data.StandardScaler,svc=sklearn.svm.classes.SVC)",No parameters available,No tasks available
8118,"sklearn.pipeline.Pipeline(scaler=sklearn.preprocessing.data.MinMaxScaler,svc=sklearn.svm.classes.SVC)",No parameters available,No tasks available
8136,"sklearn.pipeline.Pipeline(feature_reduce=sklearn.decomposition.pca.PCA,classifier=sklearn.svm.classes.SVC)",No parameters available,No tasks available
8139,"sklearn.pipeline.Pipeline(preprocessing=sklearn.preprocessing.data.MinMaxScaler,dimensionality_reduction=sklearn.decomposition.pca.PCA,classifier=sklearn.svm.classes.SVC)",No parameters available,No tasks available
8144,"imblearn.pipeline.Pipeline(SMOTE=imblearn.over_sampling.smote.SMOTE,Scaler=sklearn.preprocessing.data.StandardScaler,PCA=sklearn.decomposition.pca.PCA,Classifier=sklearn.svm.classes.SVC)",No parameters available,No tasks available
8146,"sklearn.pipeline.Pipeline(reduce_dim=sklearn.decomposition.pca.PCA,clf=sklearn.svm.classes.SVC)",No parameters available,No tasks available
8163,"sklearn.pipeline.Pipeline(preprocessing=sklearn.preprocessing.data.StandardScaler,pca=sklearn.decomposition.pca.PCA,classifier=sklearn.svm.classes.SVC)",No parameters available,No tasks available
8180,sklearn.pipeline.Pipeline(svm=sklearn.svm.classes.SVC),No parameters available,No tasks available
8181,"sklearn.pipeline.Pipeline(scaler=sklearn.preprocessing.data.StandardScaler,svm=sklearn.svm.classes.SVC)",No parameters available,No tasks available
8186,sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.svm.classes.SVC),No parameters available,No tasks available
8191,"sklearn.pipeline.Pipeline(Scaler=sklearn.preprocessing.data.MinMaxScaler,PCA=sklearn.decomposition.pca.PCA,svc=sklearn.svm.classes.SVC)",No parameters available,No tasks available
8192,"sklearn.pipeline.Pipeline(standardscaler=sklearn.preprocessing.data.StandardScaler,svc=sklearn.svm.classes.SVC)",No parameters available,No tasks available
8194,"sklearn.model_selection._search.GridSearchCV(estimator=sklearn.pipeline.Pipeline(scaler=sklearn.preprocessing.data.StandardScaler,svm=sklearn.svm.classes.SVC))",No parameters available,No tasks available
8212,"sklearn.pipeline.Pipeline(Scaler=sklearn.preprocessing.data.MinMaxScaler,PCA=sklearn.decomposition.pca.PCA,Classifier=sklearn.svm.classes.SVC)",No parameters available,No tasks available
8226,"imblearn.pipeline.Pipeline(ADASYN=imblearn.over_sampling.adasyn.ADASYN,Scaler=sklearn.preprocessing.data.StandardScaler,PCA=sklearn.decomposition.pca.PCA,Classifier=sklearn.svm.classes.SVC)",No parameters available,No tasks available
8230,"imblearn.pipeline.Pipeline(ADASYN=imblearn.over_sampling.adasyn.ADASYN,Scaler=sklearn.preprocessing.data.StandardScaler,Classifier=sklearn.svm.classes.SVC)",No parameters available,No tasks available
8246,"sklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,Scaler=sklearn.preprocessing.data.StandardScaler,Classifier=sklearn.svm.classes.SVC)",No parameters available,No tasks available
